date,value
2014-09-05,238.031
2014-09-12,238.031
2014-09-19,238.031
2014-09-26,238.031
2014-10-03,237.433
2014-10-10,237.433
2014-10-17,237.433
2014-10-24,237.433
2014-10-31,237.433
2014-11-07,236.151
2014-11-14,236.151
2014-11-21,236.151
2014-11-28,236.151
2014-12-05,234.812
2014-12-12,234.812
2014-12-19,234.812
2014-12-26,234.812
2015-01-02,233.707
2015-01-09,233.707
2015-01-16,233.707
2015-01-23,233.707
2015-01-30,233.707
2015-02-06,234.722
2015-02-13,234.722
2015-02-20,234.722
2015-02-27,234.722
2015-03-06,236.119
2015-03-13,236.119
2015-03-20,236.119
2015-03-27,236.119
2015-04-03,236.599
2015-04-10,236.599
2015-04-17,236.599
2015-04-24,236.599
2015-05-01,237.805
2015-05-08,237.805
2015-05-15,237.805
2015-05-22,237.805
2015-05-29,237.805
2015-06-05,238.638
2015-06-12,238.638
2015-06-19,238.638
2015-06-26,238.638
2015-07-03,238.654
2015-07-10,238.654
2015-07-17,238.654
2015-07-24,238.654
2015-07-31,238.654
2015-08-07,238.316
2015-08-14,238.316
2015-08-21,238.316
2015-08-28,238.316
2015-09-04,237.945
2015-09-11,237.945
2015-09-18,237.945
2015-09-25,237.945
2015-10-02,237.838
2015-10-09,237.838
2015-10-16,237.838
2015-10-23,237.838
2015-10-30,237.838
2015-11-06,237.336
2015-11-13,237.336
2015-11-20,237.336
2015-11-27,237.336
2015-12-04,236.525
2015-12-11,236.525
2015-12-18,236.525
2015-12-25,236.525
2016-01-01,236.916
2016-01-08,236.916
2016-01-15,236.916
2016-01-22,236.916
2016-01-29,236.916
2016-02-05,237.111
2016-02-12,237.111
2016-02-19,237.111
2016-02-26,237.111
2016-03-04,238.132
2016-03-11,238.132
2016-03-18,238.132
2016-03-25,238.132
2016-04-01,239.261
2016-04-08,239.261
2016-04-15,239.261
2016-04-22,239.261
2016-04-29,239.261
2016-05-06,240.229
2016-05-13,240.229
2016-05-20,240.229
2016-05-27,240.229
2016-06-03,241.018
2016-06-10,241.018
2016-06-17,241.018
2016-06-24,241.018
2016-07-01,240.628
2016-07-08,240.628
2016-07-15,240.628
2016-07-22,240.628
2016-07-29,240.628
2016-08-05,240.849
2016-08-12,240.849
2016-08-19,240.849
2016-08-26,240.849
2016-09-02,241.428
2016-09-09,241.428
2016-09-16,241.428
2016-09-23,241.428
2016-09-30,241.428
2016-10-07,241.729
2016-10-14,241.729
2016-10-21,241.729
2016-10-28,241.729
2016-11-04,241.353
2016-11-11,241.353
2016-11-18,241.353
2016-11-25,241.353
2016-12-02,241.432
2016-12-09,241.432
2016-12-16,241.432
2016-12-23,241.432
2016-12-30,241.432
2017-01-06,242.839
2017-01-13,242.839
2017-01-20,242.839
2017-01-27,242.839
2017-02-03,243.603
2017-02-10,243.603
2017-02-17,243.603
2017-02-24,243.603
2017-03-03,243.801
2017-03-10,243.801
2017-03-17,243.801
2017-03-24,243.801
2017-03-31,243.801
2017-04-07,244.524
2017-04-14,244.524
2017-04-21,244.524
2017-04-28,244.524
2017-05-05,244.733
2017-05-12,244.733
2017-05-19,244.733
2017-05-26,244.733
2017-06-02,244.955
2017-06-09,244.955
2017-06-16,244.955
2017-06-23,244.955
2017-06-30,244.955
2017-07-07,244.786
2017-07-14,244.786
2017-07-21,244.786
2017-07-28,244.786
2017-08-04,245.519
2017-08-11,245.519
2017-08-18,245.519
2017-08-25,245.519
2017-09-01,246.819
2017-09-08,246.819
2017-09-15,246.819
2017-09-22,246.819
2017-09-29,246.819
2017-10-06,246.663
2017-10-13,246.663
2017-10-20,246.663
2017-10-27,246.663
2017-11-03,246.669
2017-11-10,246.669
2017-11-17,246.669
2017-11-24,246.669
2017-12-01,246.524
2017-12-08,246.524
2017-12-15,246.524
2017-12-22,246.524
2017-12-29,246.524
2018-01-05,247.867
2018-01-12,247.867
2018-01-19,247.867
2018-01-26,247.867
2018-02-02,248.991
2018-02-09,248.991
2018-02-16,248.991
2018-02-23,248.991
2018-03-02,249.554
2018-03-09,249.554
2018-03-16,249.554
2018-03-23,249.554
2018-03-30,249.554
2018-04-06,250.546
2018-04-13,250.546
2018-04-20,250.546
2018-04-27,250.546
2018-05-04,251.588
2018-05-11,251.588
2018-05-18,251.588
2018-05-25,251.588
2018-06-01,251.989
2018-06-08,251.989
2018-06-15,251.989
2018-06-22,251.989
2018-06-29,251.989
2018-07-06,252.006
2018-07-13,252.006
2018-07-20,252.006
2018-07-27,252.006
2018-08-03,252.146
2018-08-10,252.146
2018-08-17,252.146
2018-08-24,252.146
2018-08-31,252.146
2018-09-07,252.439
2018-09-14,252.439
2018-09-21,252.439
2018-09-28,252.439
