date,value
2014-09-05,5.9
2014-09-12,5.9
2014-09-19,5.9
2014-09-26,5.9
2014-10-03,5.7
2014-10-10,5.7
2014-10-17,5.7
2014-10-24,5.7
2014-10-31,5.7
2014-11-07,5.8
2014-11-14,5.8
2014-11-21,5.8
2014-11-28,5.8
2014-12-05,5.6
2014-12-12,5.6
2014-12-19,5.6
2014-12-26,5.6
2015-01-02,5.7
2015-01-09,5.7
2015-01-16,5.7
2015-01-23,5.7
2015-01-30,5.7
2015-02-06,5.5
2015-02-13,5.5
2015-02-20,5.5
2015-02-27,5.5
2015-03-06,5.4
2015-03-13,5.4
2015-03-20,5.4
2015-03-27,5.4
2015-04-03,5.4
2015-04-10,5.4
2015-04-17,5.4
2015-04-24,5.4
2015-05-01,5.6
2015-05-08,5.6
2015-05-15,5.6
2015-05-22,5.6
2015-05-29,5.6
2015-06-05,5.3
2015-06-12,5.3
2015-06-19,5.3
2015-06-26,5.3
2015-07-03,5.2
2015-07-10,5.2
2015-07-17,5.2
2015-07-24,5.2
2015-07-31,5.2
2015-08-07,5.1
2015-08-14,5.1
2015-08-21,5.1
2015-08-28,5.1
2015-09-04,5.0
2015-09-11,5.0
2015-09-18,5.0
2015-09-25,5.0
2015-10-02,5.0
2015-10-09,5.0
2015-10-16,5.0
2015-10-23,5.0
2015-10-30,5.0
2015-11-06,5.1
2015-11-13,5.1
2015-11-20,5.1
2015-11-27,5.1
2015-12-04,5.0
2015-12-11,5.0
2015-12-18,5.0
2015-12-25,5.0
2016-01-01,4.8
2016-01-08,4.8
2016-01-15,4.8
2016-01-22,4.8
2016-01-29,4.8
2016-02-05,4.9
2016-02-12,4.9
2016-02-19,4.9
2016-02-26,4.9
2016-03-04,5.0
2016-03-11,5.0
2016-03-18,5.0
2016-03-25,5.0
2016-04-01,5.1
2016-04-08,5.1
2016-04-15,5.1
2016-04-22,5.1
2016-04-29,5.1
2016-05-06,4.8
2016-05-13,4.8
2016-05-20,4.8
2016-05-27,4.8
2016-06-03,4.9
2016-06-10,4.9
2016-06-17,4.9
2016-06-24,4.9
2016-07-01,4.8
2016-07-08,4.8
2016-07-15,4.8
2016-07-22,4.8
2016-07-29,4.8
2016-08-05,4.9
2016-08-12,4.9
2016-08-19,4.9
2016-08-26,4.9
2016-09-02,5.0
2016-09-09,5.0
2016-09-16,5.0
2016-09-23,5.0
2016-09-30,5.0
2016-10-07,4.9
2016-10-14,4.9
2016-10-21,4.9
2016-10-28,4.9
2016-11-04,4.7
2016-11-11,4.7
2016-11-18,4.7
2016-11-25,4.7
2016-12-02,4.7
2016-12-09,4.7
2016-12-16,4.7
2016-12-23,4.7
2016-12-30,4.7
2017-01-06,4.7
2017-01-13,4.7
2017-01-20,4.7
2017-01-27,4.7
2017-02-03,4.6
2017-02-10,4.6
2017-02-17,4.6
2017-02-24,4.6
2017-03-03,4.4
2017-03-10,4.4
2017-03-17,4.4
2017-03-24,4.4
2017-03-31,4.4
2017-04-07,4.4
2017-04-14,4.4
2017-04-21,4.4
2017-04-28,4.4
2017-05-05,4.4
2017-05-12,4.4
2017-05-19,4.4
2017-05-26,4.4
2017-06-02,4.3
2017-06-09,4.3
2017-06-16,4.3
2017-06-23,4.3
2017-06-30,4.3
2017-07-07,4.3
2017-07-14,4.3
2017-07-21,4.3
2017-07-28,4.3
2017-08-04,4.4
2017-08-11,4.4
2017-08-18,4.4
2017-08-25,4.4
2017-09-01,4.3
2017-09-08,4.3
2017-09-15,4.3
2017-09-22,4.3
2017-09-29,4.3
2017-10-06,4.2
2017-10-13,4.2
2017-10-20,4.2
2017-10-27,4.2
2017-11-03,4.2
2017-11-10,4.2
2017-11-17,4.2
2017-11-24,4.2
2017-12-01,4.1
2017-12-08,4.1
2017-12-15,4.1
2017-12-22,4.1
2017-12-29,4.1
2018-01-05,4.0
2018-01-12,4.0
2018-01-19,4.0
2018-01-26,4.0
2018-02-02,4.1
2018-02-09,4.1
2018-02-16,4.1
2018-02-23,4.1
2018-03-02,4.0
2018-03-09,4.0
2018-03-16,4.0
2018-03-23,4.0
2018-03-30,4.0
2018-04-06,4.0
2018-04-13,4.0
2018-04-20,4.0
2018-04-27,4.0
2018-05-04,3.8
2018-05-11,3.8
2018-05-18,3.8
2018-05-25,3.8
2018-06-01,4.0
2018-06-08,4.0
2018-06-15,4.0
2018-06-22,4.0
2018-06-29,4.0
2018-07-06,3.8
2018-07-13,3.8
2018-07-20,3.8
2018-07-27,3.8
2018-08-03,3.8
2018-08-10,3.8
2018-08-17,3.8
2018-08-24,3.8
2018-08-31,3.8
2018-09-07,3.7
2018-09-14,3.7
2018-09-21,3.7
2018-09-28,3.7
2018-10-05,3.8
2018-10-12,3.8
2018-10-19,3.8
2018-10-26,3.8
2018-11-02,3.8
2018-11-09,3.8
2018-11-16,3.8
2018-11-23,3.8
2018-11-30,3.8
2018-12-07,3.9
2018-12-14,3.9
2018-12-21,3.9
2018-12-28,3.9
2019-01-04,4.0
2019-01-11,4.0
2019-01-18,4.0
2019-01-25,4.0
2019-02-01,3.8
2019-02-08,3.8
2019-02-15,3.8
2019-02-22,3.8
2019-03-01,3.8
2019-03-08,3.8
2019-03-15,3.8
2019-03-22,3.8
2019-03-29,3.8
2019-04-05,3.7
2019-04-12,3.7
2019-04-19,3.7
2019-04-26,3.7
2019-05-03,3.6
2019-05-10,3.6
2019-05-17,3.6
2019-05-24,3.6
2019-05-31,3.6
2019-06-07,3.6
2019-06-14,3.6
2019-06-21,3.6
2019-06-28,3.6
2019-07-05,3.7
2019-07-12,3.7
2019-07-19,3.7
2019-07-26,3.7
2019-08-02,3.6
2019-08-09,3.6
2019-08-16,3.6
2019-08-23,3.6
2019-08-30,3.6
2019-09-06,3.5
2019-09-13,3.5
2019-09-20,3.5
2019-09-27,3.5
2019-10-04,3.6
2019-10-11,3.6
2019-10-18,3.6
2019-10-25,3.6
2019-11-01,3.6
2019-11-08,3.6
2019-11-15,3.6
2019-11-22,3.6
2019-11-29,3.6
2019-12-06,3.6
2019-12-13,3.6
2019-12-20,3.6
2019-12-27,3.6
2020-01-03,3.6
2020-01-10,3.6
2020-01-17,3.6
2020-01-24,3.6
2020-01-31,3.6
2020-02-07,3.5
2020-02-14,3.5
2020-02-21,3.5
2020-02-28,3.5
2020-03-06,4.4
2020-03-13,4.4
2020-03-20,4.4
2020-03-27,4.4
2020-04-03,14.8
2020-04-10,14.8
2020-04-17,14.8
2020-04-24,14.8
2020-05-01,13.2
2020-05-08,13.2
2020-05-15,13.2
2020-05-22,13.2
2020-05-29,13.2
2020-06-05,11.0
2020-06-12,11.0
2020-06-19,11.0
2020-06-26,11.0
2020-07-03,10.2
2020-07-10,10.2
2020-07-17,10.2
2020-07-24,10.2
2020-07-31,10.2
2020-08-07,8.4
2020-08-14,8.4
2020-08-21,8.4
2020-08-28,8.4
2020-09-04,7.8
2020-09-11,7.8
2020-09-18,7.8
2020-09-25,7.8
2020-10-02,6.8
2020-10-09,6.8
2020-10-16,6.8
2020-10-23,6.8
2020-10-30,6.8
2020-11-06,6.7
2020-11-13,6.7
2020-11-20,6.7
2020-11-27,6.7
2020-12-04,6.7
2020-12-11,6.7
2020-12-18,6.7
2020-12-25,6.7
2021-01-01,6.4
2021-01-08,6.4
2021-01-15,6.4
2021-01-22,6.4
2021-01-29,6.4
2021-02-05,6.2
2021-02-12,6.2
2021-02-19,6.2
2021-02-26,6.2
2021-03-05,6.1
2021-03-12,6.1
2021-03-19,6.1
2021-03-26,6.1
2021-04-02,6.1
2021-04-09,6.1
2021-04-16,6.1
2021-04-23,6.1
2021-04-30,6.1
2021-05-07,5.8
2021-05-14,5.8
2021-05-21,5.8
2021-05-28,5.8
2021-06-04,5.9
2021-06-11,5.9
2021-06-18,5.9
2021-06-25,5.9
2021-07-02,5.4
2021-07-09,5.4
2021-07-16,5.4
2021-07-23,5.4
2021-07-30,5.4
2021-08-06,5.1
2021-08-13,5.1
2021-08-20,5.1
2021-08-27,5.1
2021-09-03,4.7
2021-09-10,4.7
2021-09-17,4.7
2021-09-24,4.7
2021-10-01,4.5
2021-10-08,4.5
2021-10-15,4.5
2021-10-22,4.5
2021-10-29,4.5
2021-11-05,4.1
2021-11-12,4.1
2021-11-19,4.1
2021-11-26,4.1
2021-12-03,3.9
2021-12-10,3.9
2021-12-17,3.9
2021-12-24,3.9
2021-12-31,3.9
2022-01-07,4.0
2022-01-14,4.0
2022-01-21,4.0
2022-01-28,4.0
2022-02-04,3.8
2022-02-11,3.8
2022-02-18,3.8
2022-02-25,3.8
2022-03-04,3.6
2022-03-11,3.6
2022-03-18,3.6
2022-03-25,3.6
2022-04-01,3.7
2022-04-08,3.7
2022-04-15,3.7
2022-04-22,3.7
2022-04-29,3.7
2022-05-06,3.6
2022-05-13,3.6
2022-05-20,3.6
2022-05-27,3.6
2022-06-03,3.6
2022-06-10,3.6
2022-06-17,3.6
2022-06-24,3.6
2022-07-01,3.5
2022-07-08,3.5
2022-07-15,3.5
2022-07-22,3.5
2022-07-29,3.5
2022-08-05,3.6
2022-08-12,3.6
2022-08-19,3.6
2022-08-26,3.6
2022-09-02,3.5
2022-09-09,3.5
2022-09-16,3.5
2022-09-23,3.5
2022-09-30,3.5
2022-10-07,3.6
2022-10-14,3.6
2022-10-21,3.6
2022-10-28,3.6
2022-11-04,3.6
2022-11-11,3.6
2022-11-18,3.6
2022-11-25,3.6
2022-12-02,3.5
2022-12-09,3.5
2022-12-16,3.5
2022-12-23,3.5
2022-12-30,3.5
2023-01-06,3.4
2023-01-13,3.4
2023-01-20,3.4
2023-01-27,3.4
2023-02-03,3.6
2023-02-10,3.6
2023-02-17,3.6
2023-02-24,3.6
2023-03-03,3.5
2023-03-10,3.5
2023-03-17,3.5
2023-03-24,3.5
2023-03-31,3.5
2023-04-07,3.4
2023-04-14,3.4
2023-04-21,3.4
2023-04-28,3.4
2023-05-05,3.7
2023-05-12,3.7
2023-05-19,3.7
2023-05-26,3.7
2023-06-02,3.6
2023-06-09,3.6
2023-06-16,3.6
2023-06-23,3.6
2023-06-30,3.6
2023-07-07,3.5
2023-07-14,3.5
2023-07-21,3.5
2023-07-28,3.5
2023-08-04,3.8
2023-08-11,3.8
2023-08-18,3.8
2023-08-25,3.8
2023-09-01,3.8
2023-09-08,3.8
2023-09-15,3.8
2023-09-22,3.8
2023-09-29,3.8
2023-10-06,3.8
2023-10-13,3.8
2023-10-20,3.8
2023-10-27,3.8
2023-11-03,3.7
2023-11-10,3.7
2023-11-17,3.7
2023-11-24,3.7
2023-12-01,3.7
2023-12-08,3.7
2023-12-15,3.7
2023-12-22,3.7
2023-12-29,3.7
2024-01-05,3.7
2024-01-12,3.7
2024-01-19,3.7
2024-01-26,3.7
2024-02-02,3.9
2024-02-09,3.9
2024-02-16,3.9
2024-02-23,3.9
2024-03-01,3.8
2024-03-08,3.8
2024-03-15,3.8
2024-03-22,3.8
2024-03-29,3.8
2024-04-05,3.9
2024-04-12,3.9
2024-04-19,3.9
2024-04-26,3.9
2024-05-03,4.0
2024-05-10,4.0
2024-05-17,4.0
2024-05-24,4.0
2024-05-31,4.0
2024-06-07,4.1
2024-06-14,4.1
2024-06-21,4.1
2024-06-28,4.1
2024-07-05,4.3
